40090	96540040	4102				278	1		Bahia Guayacan		
40091	4804651	4102					1		La Herradura, El Faro, Sitio 15		
40092	82975200	4102				220	1		Caleta  Higuera, Bahia Guanaqueros		
40093	96929960	4102				3360	1		Bahia Tongoy		
40096	93776003	4102				2940	1		Playa Changa, Bahia Coquimbo		
40097	70300000	4102				2590	1		Bahia Tongoy		
40099	7129760	4102					1		Playa Grande De Tongoy		
40102	82167300	4102				285	1		Playa Changa, Sector 1, Bahia Coquimbo		
40103	78128270	4102					1		Hacienda Santa Amalia Parcela 2 Pan De		
40104	71512500	4102				20593	1		Bahia Tongoy		
40105	96571940	4102				3074	1		Sitio 13, Manzana Y, Tongoy		
40106	5436346	4202				267	1		Rio Choapa, Sitio 21, Huentelauquen		
40108	78258990	4102				5810	1		Playa Grande, Tongoy		
40109	96723000	4301				296	1		Fundo El Salitre		
40110	79934310	4102				5811	1		Playa Grande, Bahia Tongoy		
40111	96534020	4102				20594	1		Sitio 3, Lote 5, Playa Grande, Tongoy		
40113	96535470	4102				7526	1		Playa Grande, Tongoy		
40114	7693463	4102				0	1		Punta De Piedras, Bahia Guanaqueros		
40115	96619410	4102				2948	1		El Panul, Parcela 131, La Herradura		
40116	78258990	4102				2907	1		Bahia Tongoy		
40117	96947640	4102				7530	1		Bahia Tongoy		
40118	79637490	4102					1		Peñuelas Playa Changa		
40119	70300000	4102				2590	1		Bahia Tongoy		
40120	96601250	4102				290	1		Bahia Tongoy, Sur Punta Errazuriz		
40121	7220553	4102				0	1		Playa Changa		
40122	96534020	4102				3364	1		Bahia Tongoy, Sector Ii		
40123	89075100	4102				294	1		Bahia Tongoy		
40124	78258990	4102				5817	1		Bahia Tongoy, Oeste Punta Errazuriz		
40125	7023133	4102				0	1		Bahia Tongoy		
40126	6663581	4102				0	1		Bahia Tongoy		
40127	4702604	4203					1		Punta Piedras, Puerto Pichidangui		
40128	4146491	4203				2916	1		Palo Colorado		
40129	78258990	4102				20539	1		El Panul, La Herradura		
40130	81518400	4102				2921	1		Guayacan		
40132	78258990	4102					1		Bahia Tongoy		
40133	9927377	4102				2944	1		Bahia Barnes		
40134	77773770	4104				21199	1		Caleta Totoralillo		
40135	78258990	4102				3352	1		Bahia Tongoy		
40136	96534020	4102				3366	1		Bahia Tongoy, Sector I		
