199	1	67	6950	45.9
200	2	67	7850	51.8
201	3	67	350	2.3
202	1	68	12200	44.8
203	2	68	14400	52.8
204	3	68	650	2.4
205	1	69	16350	49.8
206	2	69	14450	44.1
207	3	69	2000	6.1
208	1	70	550	57.9
209	2	70	350	36.8
210	3	70	50	5.3
211	1	71	400	47
212	2	71	350	41.2
213	3	71	100	11.8
214	1	72	500	41.7
215	2	72	600	50
216	3	72	100	8.3
217	1	73	3250	30.5
218	2	73	7100	66.7
219	3	73	300	2.8
220	1	74	8500	47.8
221	2	74	8500	47.7
222	3	74	800	4.5
223	1	75	9650	30.7
224	2	75	19750	62.9
225	3	75	2000	6.4
226	1	76	0	0
227	2	76	0	0
228	3	76	0	0
229	1	77	0	0
230	2	77	0	0
231	3	77	0	0
232	1	78	0	0
233	2	78	0	0
234	3	78	0	0
235	1	79	1	100
236	2	79	0	0
237	3	79	0	0
238	1	80	0	0
239	2	80	0	0
240	3	80	0	0
241	1	81	0	0
242	2	81	0	0
243	3	81	0	0
244	1	82	0	0
245	2	82	0	0
246	3	82	0	0
247	1	83	0	0
248	2	83	0	0
249	3	83	0	0
250	1	84	0	0
251	2	84	0	0
252	3	84	0	0
253	1	85	0	0
254	2	85	0	0
255	3	85	0	0
256	1	86	45	95.7
257	2	86	2	4.3
258	3	86	0	0
259	1	87	86	97.7
260	2	87	2	2.3
261	3	87	0	0
262	1	88	138	98.6
263	2	88	2	1.4
264	3	88	0	0
265	1	89	111	96.5
266	2	89	3	2.6
267	3	89	1	0.9
268	1	90	73	96.1
269	2	90	2	2.6
270	3	90	1	1.3
271	1	91	63	91.3
272	2	91	4	5.8
273	3	91	2	2.9
274	1	92	950	91.1
275	2	92	56	5.4
276	3	92	37	3.5
277	1	93	522	88.3
278	2	93	52	8.8
279	3	93	17	2.9
280	1	94	125	89.3
281	2	94	13	9.3
282	3	94	2	1.4
283	1	95	102	82.9
284	2	95	12	9.8
285	3	95	9	7.3
286	1	96	112	81.8
287	2	96	10	7.3
288	3	96	15	10.9
289	1	97	667	92.4
290	2	97	42	5.8
291	3	97	13	1.8
292	1	98	800	88
293	2	98	74	8.1
294	3	98	35	3.9
295	1	99	3200	80.5
296	2	99	621	15.6
297	3	99	153	3.9
298	1	100	4850	78.9
299	2	100	1148	18.7
300	3	100	150	2.4
301	1	101	4967	70.2
302	2	101	1617	22.8
303	3	101	493	7
